Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.ips-pilgrimage.json	22506	-	0	0	0	0	0	0	8	501	0	0	0	0	0	0	0	1	0	0	131	210	0	0	0	0	6	0	1
fsh-generated/resources/AllergyIntolerance-72884cad-ebe6-4f43-a51a-2f978275f131.json	1185	8	0	0	0	0	0	0	0	1955	0	0	0	0	0	0	0	0	0	0	15	27	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-MyIPS.json	35562	14	1	0	0	0	68	0	2	446	0	0	0	0	0	0	0	0	0	0	78	210	0	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-VHLDocumentResponder.json	1093	6	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	27	29	0	0	1	0	1	0	0
fsh-generated/resources/CodeSystem-BrowserCs.json	740	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	14	12633	0	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-DistributionModelCs.json	587	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	300	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IPS.HAJJ.ACTOR.json	852	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	331	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IPS.HAJJ.CONSENT.json	1738	4	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	214	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IPS.HAJJ.TRANSACTION.json	1241	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	14	205	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-LanguageCs.json	780	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	203	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-LicensingModelCs.json	511	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	179	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-OperatingSystemCs.json	673	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	178	0	0	0	0	0	0	0
fsh-generated/resources/Composition-ExampleComposition.json	8516	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23	45	0	0	0	0	0	0	0
fsh-generated/resources/Condition-c4597aa2-688a-401b-a658-70acc6de28c5.json	1884	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	10	0	0	0	0	0	0	0
fsh-generated/resources/Condition-c64139e7-f02d-409c-bf34-75e8bf23bc89.json	1809	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0	0
fsh-generated/resources/Consent-c7781f44-6df8-4a8b-9e06-0b34263a47c6.json	1003	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	1	0	0
fsh-generated/resources/DocumentReference-FHIRIPSDocumentReference.json	1215	4	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-FHIRIPSSignedDocumentReference.json	1067	3	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-IPSPDFDocumentReference.json	1229	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-IPSSignedPDFDocumentReference.json	1069	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-ex-documentreference.json	1356	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	19	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-ex-documentreference1.json	1357	4	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0	0
