Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.ips-pilgrimage.json	28526	-	0	0	0	0	0	0	14	416	0	0	0	0	0	0	0	1	0	0	138	296	0	0	0	0	8	0	2
fsh-generated/resources/AllergyIntolerance-72884cad-ebe6-4f43-a51a-2f978275f131.json	1184	7	0	0	0	0	0	0	0	1926	0	0	0	0	0	0	0	0	0	0	18	29	0	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-72884cad-ebe6-4f43-a51a-2f978275f132.json	1184	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-MyIPS.json	35651	20	0	0	0	0	70	0	4	382	0	0	0	0	0	0	0	1	0	0	89	185	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-bundle-transaction.json	4872	10	0	0	0	0	30	0	1	488	0	0	0	0	0	0	0	0	0	0	22	64	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BrowserCs.json	740	8	0	0	0	0	0	0	0	54	0	0	1	0	0	0	0	0	0	0	19	12801	0	0	0	1	1	0	0
fsh-generated/resources/CodeSystem-DistributionModelCs.json	587	7	0	0	1	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	22	265	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IPS.HAJJ.ACTOR.json	852	7	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	22	314	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IPS.HAJJ.CONSENT.json	1738	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	24	203	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IPS.HAJJ.TRANSACTION.json	1241	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	16	202	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-LanguageCs.json	780	8	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	18	200	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-LicensingModelCs.json	511	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	195	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-OperatingSystemCs.json	673	7	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	196	0	0	0	0	0	0	0
fsh-generated/resources/Composition-30551ce1-5a28-4356-b684-1e639094ad4d.json	8399	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	54	0	0	0	0	0	0	0
fsh-generated/resources/Composition-ExampleComposition.json	8516	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	18	39	0	0	0	0	0	0	0
fsh-generated/resources/Condition-c4597aa2-688a-401b-a658-70acc6de28c5.json	1883	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0	0
fsh-generated/resources/Condition-c4597aa2-688a-401b-a658-70acc6de28c6.json	1883	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0	0
fsh-generated/resources/Condition-c64139e7-f02d-409c-bf34-75e8bf23bc80.json	1808	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0	0
fsh-generated/resources/Condition-c64139e7-f02d-409c-bf34-75e8bf23bc89.json	1808	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0	0
fsh-generated/resources/Consent-c7781f44-6df8-4a8b-9e06-0b34263a47c6.json	1003	8	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0	0
fsh-generated/resources/Consent-c7781f44-6df8-4a8b-9e06-0b34263a47c7.json	1002	7	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-DocRef1.json	957	8	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-DocRef2.json	832	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-FHIRIPSDocumentReference.json	1215	8	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	21	11	0	0	0	0	0	0	0
